日期,觀光目的別,目的別總計,業務,觀光,探親,會議,求學,展覽,醫療,其他,未列明
113年,,7857686,507421,5376199,362461,42157,57771,26157,14648,1470872,-
113年02月,,648348,25051,408063,37588,1955,5320,981,747,168643,-
113年03月,,811608,51189,578851,31173,3798,3615,2813,1297,138872,-
113年04月,,610146,39817,420952,26558,2547,2874,1652,1272,114474,-
113年05月,,581748,41322,395766,25506,3259,3911,1662,1268,109054,-
113年06月,,571510,47536,362239,34006,4241,5286,5733,1201,111268,-
113年07月,,539454,39366,339398,34661,2590,4553,1176,1274,116436,-
113年08月,,616922,36631,411374,27255,3083,7403,1685,1229,128262,-
113年09月,,575455,48608,368986,23044,3799,7773,2947,1294,119004,-
113年10月,,661115,46847,455413,25275,5123,7210,2576,1174,117497,-
113年11月,,747800,50571,543822,28603,5418,3934,2050,1294,112108,-
113年12月,,903619,40291,686001,40905,3588,3489,1815,1371,126159,-
114年(至02月),,1350236,76970,881069,66109,5535,8496,2309,2290,307458,-
114年01月,,651078,34321,434700,43353,2026,2420,1089,1102,132067,-
114年02月,,699158,42649,446369,22756,3509,6076,1220,1188,175391,-
